id,lat,lon,alt,name,tz
KOCF,29.17,-82.22,24.0,"Ocala, Ocala International Airport-Jim Taylor Field",America/New_York
KRDU,35.87,-78.79,126.0,"Raleigh / Durham, Raleigh-Durham International Airport",America/New_York
KFUL,33.87,-117.98,38.0,"Fullerton, Fullerton Municipal Airport",America/Los_Angeles
KSLI,33.78,-118.05,1.0,Los Alamitos U. S. Army Airfield,America/Los_Angeles
KSNA,33.68,-117.87,2.0,"Santa Ana, John Wayne Airport-Orange County Airport",America/Los_Angeles
KEWR,40.68,-74.17,2.0,"Newark, Newark International Airport",America/New_York
KJFK,40.64,-73.76,7.0,"New York, Kennedy International Airport",America/New_York
KLGA,40.78,-73.88,7.0,"New York, La Guardia Airport",America/New_York
KNYC,40.78,-73.97,25.0,"New York City, Central Park",America/New_York
KJRB,40.7,-74.01,2.0,Downtown Manhattan Wall Street Heliport,America/New_York
KBFI,47.55,-122.31,45.0,"Seattle, Seattle Boeing Field",America/Los_Angeles
KRNT,47.49,-122.21,32.0,"Renton, Renton Municipal Airport",America/Los_Angeles
KSEA,47.44,-122.31,104.0,"Seattle, Seattle-Tacoma International Airport",America/Los_Angeles
KTEB,40.86,-74.06,3.0,"Teterboro, Teterboro Airport",America/New_York
KEMT,34.08,-118.03,87.0,El Monte,America/Los_Angeles
KCQT,34.02,-118.28,56.0,Los Angeles / USC Campus Downtown,America/Los_Angeles
KBUR,34.2,-118.36,213.0,"Burbank, Burbank-Glendale-Pasadena Airport",America/Los_Angeles
KWHP,34.25,-118.4,276.0,"Los Angeles, Whiteman Airport",America/Los_Angeles
KHHR,33.92,-118.33,22.0,"Hawthorne, Hawthorne Municipal Airport",America/Los_Angeles
KLAX,33.94,-118.39,30.0,"Los Angeles, Los Angeles International Airport",America/Los_Angeles
KSMO,34.02,-118.45,40.0,"Santa Monica, Santa Monica Municipal Airport",America/Los_Angeles
KVNY,34.21,-118.49,235.0,"Van Nuys, Van Nuys Airport",America/Los_Angeles
PHNG,21.45,-157.77,2.0,"Kaneohe, Marine Corps Air Station",Pacific/Honolulu
PHNL,21.33,-157.94,14.0,"Honolulu, Honolulu International Airport",Pacific/Honolulu
KADW,38.82,-76.85,64.0,Camp Springs / Andrews Air Force Base,America/New_York
KDCA,38.85,-77.03,1.0,"Washington DC, Reagan National Airport",America/New_York
KCGS,38.98,-76.92,15.0,College Park Airport,America/New_York
KMIA,25.79,-80.32,2.0,"Miami, Miami International Airport",America/New_York
KOPF,25.91,-80.28,2.0,"Miami, Opa Locka Airport",America/New_York
KMCO,28.42,-81.32,24.0,"Orlando, Orlando International Airport",America/New_York
KORL,28.55,-81.34,35.0,"Orlando, Orlando Executive Airport",America/New_York
KOAK,37.72,-122.24,1.0,"Oakland, Metro Oakland International Airport",America/Los_Angeles
KSFO,37.62,-122.36,1.0,"San Francisco, San Francisco International Airport",America/Los_Angeles
KLAS,36.08,-115.16,659.0,"Las Vegas, McCarran International Airport",America/Los_Angeles
KLSV,36.23,-115.03,557.0,Nellis Air Force Base,America/Los_Angeles
KVGT,36.21,-115.2,668.0,"Las Vegas, North Las Vegas Airport",America/Los_Angeles
KCBF,41.27,-95.77,349.0,Council Bluffs,America/Chicago
KOFF,41.12,-95.9,300.0,Omaha / Offutt Air Force Base,America/Chicago
KOMA,41.31,-95.9,299.0,"Omaha, Eppley Airfield",America/Chicago
KMDW,41.78,-87.76,188.0,"Chicago, Chicago Midway Airport",America/Chicago
KHOU,29.64,-95.28,14.0,"Houston, Houston Hobby Airport",America/Chicago
KMCJ,29.72,-95.4,69.0,HOUSTON/UNIV,America/Chicago
KDAL,32.85,-96.86,136.0,"Dallas, Dallas Love Field",America/Chicago
KRBD,32.68,-96.86,198.0,"Dallas, Redbird Airport",America/Chicago
KATL,33.64,-84.43,305.0,"Atlanta, Hartsfield - Jackson Atlanta International Airport",America/New_York
KFTY,33.78,-84.52,242.0,"Atlanta, Fulton County Airport-Brown Field",America/New_York
KPDK,33.88,-84.3,277.0,"Atlanta, De Kalb-Peachtree Airport",America/New_York
KMYF,32.81,-117.14,126.0,"San Diego, Montgomery Field",America/Los_Angeles
KNKX,32.87,-117.14,145.0,"San Diego, Miramar MCAS/Mitscher Field Airport",America/Los_Angeles
KNRS,32.56,-117.11,7.0,"Imperial Beach, Naval Auxiliary Landing Field",America/Los_Angeles
KNZY,32.69,-117.21,7.0,"San Diego, North Island, Naval Air Station",America/Los_Angeles
KSAN,32.73,-117.18,2.0,"San Diego, San Diego International-Lindbergh Field",America/Los_Angeles
KSEE,32.83,-116.97,111.0,"San Diego/El Cajon, Gillespie Field Airport",America/Los_Angeles
KNUQ,37.41,-122.05,10.0,"Mountain View, Moffett Field",America/Los_Angeles
KRHV,37.33,-121.82,37.0,San Jose / Reid / Hillv,America/Los_Angeles
KSJC,37.36,-121.92,15.0,"San Jose, San Jose International Airport",America/Los_Angeles
KXSA,37.86,-76.89,41.0,Tappahannock-Essex County Airport,America/New_York
KPHX,33.43,-112.05,340.0,"Phoenix, Phoenix Sky Harbor International Airport",America/Phoenix
KDSM,41.54,-93.67,259.0,"Des Moines, Des Moines International Airport",America/Chicago
KIKV,41.69,-93.57,276.0,"Ankeny, Ankeny Regional Airport",America/Chicago
KPHL,39.87,-75.23,2.0,"Philadelphia, Philadelphia International Airport",America/New_York
KPNE,40.08,-75.01,35.0,"Philadelphia, Northeast Philadelphia Airport",America/New_York
KMCF,27.85,-82.5,2.0,"Macdill Air Force Base, Fl.",America/New_York
KTPA,27.96,-82.54,3.0,"Tampa, Tampa International Airport",America/New_York
KVDF,28.01,-82.35,3.0,"Tampa, Vandenberg Airport",America/New_York
KTPF,27.92,-82.45,1.0,"Tampa, Peter O Knight Airport",America/New_York
KCMH,39.99,-82.88,244.0,"Columbus, Port Columbus International Airport",America/New_York
KLCK,39.82,-82.93,213.0,Rickenbacker Air National Guard Base,America/New_York
KOSU,40.08,-83.08,274.0,"Columbus, Ohio State University Airport",America/New_York
KTZR,39.9,-83.14,274.0,"Columbus, Bolton Field Airport",America/New_York
KIAD,38.93,-77.45,91.0,"Washington DC, Washington-Dulles International Airport",America/New_York
KJYO,39.08,-77.57,106.0,Leesburg / Godfrey,America/New_York
KBKF,39.71,-104.76,1682.0,"Aurora, Buckley Air Force Base Airport",America/Denver
KCLT,35.21,-80.95,212.0,"Charlotte, Charlotte / Douglas International Airport",America/New_York
KSAT,29.53,-98.46,237.0,"San Antonio, San Antonio International Airport",America/Chicago
KSKF,29.38,-98.58,200.0,Kelly Air Force Base,America/Chicago
KSSF,29.34,-98.47,170.0,"San Antonio, Stinson Municipal Airport",America/Chicago
KPDX,45.59,-122.6,61.0,"Portland, Portland International Airport",America/Los_Angeles
KVUO,45.62,-122.66,21.0,"Vancouver, Pearson Field Airport",America/Los_Angeles
KTTD,45.55,-122.41,34.0,"Portland, Portland-Troutdale Airport",America/Los_Angeles
KANE,45.15,-93.22,277.0,Minneapolis / Blaine,America/Chicago
KMIC,45.06,-93.35,265.0,"Minneapolis, Crystal Airport",America/Chicago
KMSP,44.88,-93.23,256.0,"Minneapolis, Minneapolis-St. Paul International Airport",America/Chicago
KSTP,44.93,-93.05,213.0,"St. Paul, St. Paul Downtown Holman Field",America/Chicago
KAUS,30.19,-97.67,152.0,"Austin, Austin-Bergstrom International Airport",America/Chicago
KATT,30.32,-97.77,217.0,"Austin City, Austin Camp Mabry",America/Chicago
KBOS,42.36,-71.01,1.0,"Boston, Logan International Airport",America/New_York
KMQE,42.21,-71.11,166.0,East Milton,America/New_York
KSLC,40.78,-111.97,1286.0,"Salt Lake City, Salt Lake City International Airport",America/Denver
KU42,40.62,-111.99,1392.0,"Salt Lake City, Salt Lake City Municipal 2 Airport",America/Denver
KCPS,38.57,-90.16,124.0,"Cahokia / St. Louis, St. Louis Downtown Airport",America/Chicago
KCRG,30.34,-81.51,12.0,"Jacksonville, Craig Municipal Airport",America/New_York
KJAX,30.49,-81.69,6.0,"Jacksonville, Jacksonville International Airport",America/New_York
KNIP,30.23,-81.67,3.0,"Jacksonville, Naval Air Station",America/New_York
KAGC,40.35,-79.92,333.0,"Pittsburgh, Allegheny County Airport",America/New_York
KCVG,39.04,-84.67,271.0,"Covington / Cincinnati, Cincinnati / Northern Kentucky Inter",America/New_York
KLUK,39.11,-84.42,165.0,"Cincinnati, Cincinnati Municipal Airport Lunken Field",America/New_York
KBNA,36.12,-86.69,183.0,"Nashville, Nashville International Airport",America/Chicago
KJWN,36.18,-86.89,151.0,John C Tune Airport,America/Chicago
KSPI,39.85,-89.68,178.0,"Springfield, Abraham Lincoln Capital Airport",America/Chicago
KEYE,39.83,-86.3,245.0,"Indianapolis, Eagle Creek Airpark",America/New_York
KIND,39.73,-86.28,240.0,"Indianapolis, Indianapolis International Airport",America/New_York
KLOU,38.23,-85.66,164.0,"Louisville, Bowman Field Airport",America/New_York
KSDF,38.18,-85.73,138.0,"Louisville, Standiford Field",America/New_York
KJVY,38.37,-85.74,144.0,Clark Regional Airport,America/New_York
KCAE,33.94,-81.12,61.0,"Columbia, Columbia Metropolitan Airport",America/New_York
KCUB,33.97,-80.99,52.0,"Columbia, Columbia Owens Downtown Airport",America/New_York
KGKY,32.66,-97.1,182.0,"Arlington, Arlington Municipal Airport",America/Chicago
KGPM,32.7,-97.05,176.0,"Grand Prairie, Grand Prairie Municipal Airport",America/Chicago
KDMA,32.17,-110.88,805.0,Davis-Monthan Air Force Base,America/Phoenix
KTUS,32.13,-110.96,779.0,"Tucson, Tucson International Airport",America/Phoenix
KROC,43.12,-77.68,167.0,"Rochester, Greater Rochester International Airport",America/New_York
KOFP,37.71,-77.43,61.0,"Ashland, Hanover County Municipal Airport",America/New_York
KRIC,37.51,-77.32,41.0,"Richmond, Richmond International Airport",America/New_York
KFCI,37.41,-77.53,72.0,Chesterfield County Airport,America/New_York
KBKL,41.53,-81.67,174.0,"Cleveland, Burke Lakefront Airport",America/New_York
KCGF,41.57,-81.48,262.0,Cleveland / Cuyahoga,America/New_York
KCLE,41.41,-81.85,230.0,"Cleveland, Cleveland-Hopkins International Airport",America/New_York
KBWI,39.17,-76.68,45.0,"Baltimore, Baltimore-Washington International Airport",America/New_York
KMTN,39.33,-76.42,1.0,Baltimore / Martin,America/New_York
KMKC,39.12,-94.6,225.0,"Kansas City, Kansas City Downtown Airport",America/Chicago
KALB,42.75,-73.8,90.0,"Albany, Albany International Airport",America/New_York
KFTW,32.83,-97.36,213.0,"Fort Worth, Meacham International Airport",America/Chicago
