id,lat,lon,alt,name,tz,utc_offset
KOCF,29.17,-82.22,24.0,"Ocala, Ocala International Airport-Jim Taylor Field",America/New_York,UTC-5
KRDU,35.87,-78.79,126.0,"Raleigh / Durham, Raleigh-Durham International Airport",America/New_York,UTC-5
KFUL,33.87,-117.98,38.0,"Fullerton, Fullerton Municipal Airport",America/Los_Angeles,UTC-8
KSLI,33.78,-118.05,1.0,Los Alamitos U. S. Army Airfield,America/Los_Angeles,UTC-8
KSNA,33.68,-117.87,2.0,"Santa Ana, John Wayne Airport-Orange County Airport",America/Los_Angeles,UTC-8
KBFI,47.55,-122.31,45.0,"Seattle, Seattle Boeing Field",America/Los_Angeles,UTC-8
KRNT,47.49,-122.21,32.0,"Renton, Renton Municipal Airport",America/Los_Angeles,UTC-8
KSEA,47.44,-122.31,104.0,"Seattle, Seattle-Tacoma International Airport",America/Los_Angeles,UTC-8
KEWR,40.68,-74.17,2.0,"Newark, Newark International Airport",America/New_York,UTC-5
KLGA,40.78,-73.88,7.0,"New York, La Guardia Airport",America/New_York,UTC-5
KNYC,40.78,-73.97,25.0,"New York City, Central Park",America/New_York,UTC-5
KTEB,40.86,-74.06,3.0,"Teterboro, Teterboro Airport",America/New_York,UTC-5
KJRB,40.7,-74.01,2.0,Downtown Manhattan Wall Street Heliport,America/New_York,UTC-5
KEMT,34.08,-118.03,87.0,El Monte,America/Los_Angeles,UTC-8
KCQT,34.02,-118.28,56.0,Los Angeles / USC Campus Downtown,America/Los_Angeles,UTC-8
KBUR,34.2,-118.36,213.0,"Burbank, Burbank-Glendale-Pasadena Airport",America/Los_Angeles,UTC-8
KWHP,34.25,-118.4,276.0,"Los Angeles, Whiteman Airport",America/Los_Angeles,UTC-8
KHHR,33.92,-118.33,22.0,"Hawthorne, Hawthorne Municipal Airport",America/Los_Angeles,UTC-8
KLAX,33.94,-118.39,30.0,"Los Angeles, Los Angeles International Airport",America/Los_Angeles,UTC-8
KSMO,34.02,-118.45,40.0,"Santa Monica, Santa Monica Municipal Airport",America/Los_Angeles,UTC-8
KVNY,34.21,-118.49,235.0,"Van Nuys, Van Nuys Airport",America/Los_Angeles,UTC-8
PHNG,21.45,-157.77,2.0,"Kaneohe, Marine Corps Air Station",Pacific/Honolulu,UTC-10
PHNL,21.33,-157.94,14.0,"Honolulu, Honolulu International Airport",Pacific/Honolulu,UTC-10
KADW,38.82,-76.85,64.0,Camp Springs / Andrews Air Force Base,America/New_York,UTC-5
KDCA,38.85,-77.03,1.0,"Washington DC, Reagan National Airport",America/New_York,UTC-5
KCGS,38.98,-76.92,15.0,College Park Airport,America/New_York,UTC-5
KMIA,25.79,-80.32,2.0,"Miami, Miami International Airport",America/New_York,UTC-5
KOPF,25.91,-80.28,2.0,"Miami, Opa Locka Airport",America/New_York,UTC-5
KMCO,28.42,-81.32,24.0,"Orlando, Orlando International Airport",America/New_York,UTC-5
KORL,28.55,-81.34,35.0,"Orlando, Orlando Executive Airport",America/New_York,UTC-5
