id,lat,lon,alt,name,tz,search_name,random_group
KMDW,41.78,-87.76,188.0,"Chicago, Chicago Midway Airport",America/Chicago,"Chicago, Chicago Midway Airport",1
KHOU,29.64,-95.28,14.0,"Houston, Houston Hobby Airport",America/Chicago,"Houston, Houston Hobby Airport",1
KMCJ,29.72,-95.4,69.0,HOUSTON/UNIV,America/Chicago,HOUSTON/UNIV,1
KDAL,32.85,-96.86,136.0,"Dallas, Dallas Love Field",America/Chicago,"Dallas, Dallas Love Field",1
KRBD,32.68,-96.86,198.0,"Dallas, Redbird Airport",America/Chicago,"Dallas, Redbird Airport",1
KATL,33.64,-84.43,305.0,"Atlanta, Hartsfield - Jackson Atlanta International Airport",America/New_York,"Atlanta, Hartsfield - Jackson Atlanta International Airport",1
KFTY,33.78,-84.52,242.0,"Atlanta, Fulton County Airport-Brown Field",America/New_York,"Atlanta, Fulton County Airport-Brown Field",1
KPDK,33.88,-84.3,277.0,"Atlanta, De Kalb-Peachtree Airport",America/New_York,"Atlanta, De Kalb-Peachtree Airport",1
KMYF,32.81,-117.14,126.0,"San Diego, Montgomery Field",America/Los_Angeles,"San Diego, Montgomery Field",1
KNKX,32.87,-117.14,145.0,"San Diego, Miramar MCAS/Mitscher Field Airport",America/Los_Angeles,"San Diego, Miramar MCAS/Mitscher Field Airport",1
KNRS,32.56,-117.11,7.0,"Imperial Beach, Naval Auxiliary Landing Field",America/Los_Angeles,"Imperial Beach, Naval Auxiliary Landing Field",1
KNZY,32.69,-117.21,7.0,"San Diego, North Island, Naval Air Station",America/Los_Angeles,"San Diego, North Island, Naval Air Station",1
KSAN,32.73,-117.18,2.0,"San Diego, San Diego International-Lindbergh Field",America/Los_Angeles,"San Diego, San Diego International-Lindbergh Field",1
KSEE,32.83,-116.97,111.0,"San Diego/El Cajon, Gillespie Field Airport",America/Los_Angeles,"San Diego/El Cajon, Gillespie Field Airport",1
KNUQ,37.41,-122.05,10.0,"Mountain View, Moffett Field",America/Los_Angeles,"Mountain View, Moffett Field",1
KRHV,37.33,-121.82,37.0,San Jose / Reid / Hillv,America/Los_Angeles,San Jose / Reid / Hillv,1
KSJC,37.36,-121.92,15.0,"San Jose, San Jose International Airport",America/Los_Angeles,"San Jose, San Jose International Airport",1
KXSA,37.86,-76.89,41.0,Tappahannock-Essex County Airport,America/New_York,Tappahannock-Essex County Airport,1
KPHX,33.43,-112.05,340.0,"Phoenix, Phoenix Sky Harbor International Airport",America/Phoenix,"Phoenix, Phoenix Sky Harbor International Airport",1
KDSM,41.54,-93.67,259.0,"Des Moines, Des Moines International Airport",America/Chicago,"Des Moines, Des Moines International Airport",1
KIKV,41.69,-93.57,276.0,"Ankeny, Ankeny Regional Airport",America/Chicago,"Ankeny, Ankeny Regional Airport",1
KPHL,39.87,-75.23,2.0,"Philadelphia, Philadelphia International Airport",America/New_York,"Philadelphia, Philadelphia International Airport",1
KPNE,40.08,-75.01,35.0,"Philadelphia, Northeast Philadelphia Airport",America/New_York,"Philadelphia, Northeast Philadelphia Airport",1
KMCF,27.85,-82.5,2.0,"Macdill Air Force Base, Fl.",America/New_York,"Macdill Air Force Base, Fl.",1
KTPA,27.96,-82.54,3.0,"Tampa, Tampa International Airport",America/New_York,"Tampa, Tampa International Airport",1
KVDF,28.01,-82.35,3.0,"Tampa, Vandenberg Airport",America/New_York,"Tampa, Vandenberg Airport",1
KTPF,27.92,-82.45,1.0,"Tampa, Peter O Knight Airport",America/New_York,"Tampa, Peter O Knight Airport",1
KCMH,39.99,-82.88,244.0,"Columbus, Port Columbus International Airport",America/New_York,"Columbus, Port Columbus International Airport",1
KLCK,39.82,-82.93,213.0,Rickenbacker Air National Guard Base,America/New_York,Rickenbacker Air National Guard Base,1
KOSU,40.08,-83.08,274.0,"Columbus, Ohio State University Airport",America/New_York,"Columbus, Ohio State University Airport",1
KTZR,39.9,-83.14,274.0,"Columbus, Bolton Field Airport",America/New_York,"Columbus, Bolton Field Airport",1
KIAD,38.93,-77.45,91.0,"Washington DC, Washington-Dulles International Airport",America/New_York,"Washington DC, Washington-Dulles International Airport",1
KJYO,39.08,-77.57,106.0,Leesburg / Godfrey,America/New_York,Leesburg / Godfrey,1
KBKF,39.71,-104.76,1682.0,"Aurora, Buckley Air Force Base Airport",America/Denver,"Aurora, Buckley Air Force Base Airport",1
KCLT,35.21,-80.95,212.0,"Charlotte, Charlotte / Douglas International Airport",America/New_York,"Charlotte, Charlotte / Douglas International Airport",1
KSAT,29.53,-98.46,237.0,"San Antonio, San Antonio International Airport",America/Chicago,"San Antonio, San Antonio International Airport",1
KSKF,29.38,-98.58,200.0,Kelly Air Force Base,America/Chicago,Kelly Air Force Base,1
KSSF,29.34,-98.47,170.0,"San Antonio, Stinson Municipal Airport",America/Chicago,"San Antonio, Stinson Municipal Airport",1
KPDX,45.59,-122.6,61.0,"Portland, Portland International Airport",America/Los_Angeles,"Portland, Portland International Airport",1
KVUO,45.62,-122.66,21.0,"Vancouver, Pearson Field Airport",America/Los_Angeles,"Vancouver, Pearson Field Airport",1
KTTD,45.55,-122.41,34.0,"Portland, Portland-Troutdale Airport",America/Los_Angeles,"Portland, Portland-Troutdale Airport",1
KANE,45.15,-93.22,277.0,Minneapolis / Blaine,America/Chicago,Minneapolis / Blaine,1
KMIC,45.06,-93.35,265.0,"Minneapolis, Crystal Airport",America/Chicago,"Minneapolis, Crystal Airport",1
KMSP,44.88,-93.23,256.0,"Minneapolis, Minneapolis-St. Paul International Airport",America/Chicago,"Minneapolis, Minneapolis-St. Paul International Airport",1
KSTP,44.93,-93.05,213.0,"St. Paul, St. Paul Downtown Holman Field",America/Chicago,St. Paul Downtown Airport / Holman Field,1
KAUS,30.19,-97.67,152.0,"Austin, Austin-Bergstrom International Airport",America/Chicago,"Austin, Austin-Bergstrom International Airport",1
KATT,30.32,-97.77,217.0,"Austin City, Austin Camp Mabry",America/Chicago,"Austin City, Austin Camp Mabry",1
KBOS,42.36,-71.01,1.0,"Boston, Logan International Airport",America/New_York,"Boston, Logan International Airport",1
