id,lat,lon,alt,name,tz,search_name
SBCB,-22.92,-42.07,7.0,Cabo Frio Airport,America/Sao_Paulo,Cabo Frio Airport
SBVH,-12.7,-60.1,612.0,Vilhena Aeroporto,America/Porto_Velho,Vilhena Aeroporto
SBOI,3.83,-51.83,26.0,Oiapoque,America/Fortaleza,Oiapoque
SBSN,-2.43,-54.72,13.0,Santarem-Aeroporto,America/Fortaleza,Santarém
SBPJ,-10.24167,-48.35278,236.0,Brigadeiro Lysias Rodrigues Airport,America/Fortaleza,Brigadeiro Lysias Rodrigues Airport
SBPP,-22.55,-55.7,657.0,Ponta Pora Intl,America/Campo_Grande,Ponta Porã
SBAT,-9.87,-56.1,288.0,Alta Floresta Aeroporto,America/Cuiaba,Alta Floresta
SBDN,-22.12,-51.38,436.0,Presidente Prudente,America/Sao_Paulo,Presidente Prudente
SBTK,-8.17,-70.77,190.0,Tarauaca,America/Eirunepe,Tarauaca
SBRB,-10.0,-67.8,149.0,Rio Branco,America/Eirunepe,Rio Branco
SBAX,-19.56,-46.96,999.0,Araxá Airport,America/Sao_Paulo,Araxá Airport
83650,-20.5,-29.32,28.0,TRINDADE (ILHA),America/Noronha,Trindade
SBTE,-5.05,-42.82,48.0,Teresina Aeroporto,America/Fortaleza,Teresina
SBSY,-11.57,-50.67,10.0,SANTA ISABEL,America/Araguaina,Santa Isabel
SBPV,-8.77,-63.92,80.0,Porto Velho Aeroporto,America/Manaus,Porto Velho Aeroporto
SBIL,-14.82,-39.03,1.0,Ilheus Aeroporto,America/Fortaleza,Ilhéus
SBVT,-20.27,-40.28,4.0,Vitoria Aeroporto,America/Sao_Paulo,Vitoria Aeroporto
SBMY,-5.82,-61.3,50.0,Manicore,America/Manaus,Manicoré
SBAN,-16.23,-48.97,1137.0,Anapolis Braz-Afb,America/Sao_Paulo,Anápolis
SBAR,-10.98,-37.07,1.0,Aracaju Aeroporto,America/Fortaleza,Aracaju Aeroporto
SBTF,-3.37,-64.68,44.0,Tefe,America/Manaus,Tefé
SBAU,-21.14,-50.42,415.0,Araçatuba Airport,America/Sao_Paulo,Araçatuba Airport
SBMA,-5.35,-49.15,40.0,Maraba,America/Fortaleza,Maraba
SBES,-22.82,-42.1,1.0,S. P. Aldeia Aerodrome,America/Sao_Paulo,São Pedro
